title,rating,review_nb,img,url,asin,prices_per_unit,units,prices_main
,nan,nan,,https://www.amazon.it/,,nan,nan,nan
"MSI GeForce RTX 2060 GAMING Z 6G Scheda grafica, 6 GB GDDR6, PCI Express x16 3.0...",4.6,184,https://m.media-amazon.com/images/I/61TNpxnmxCL.jpg,https://www.amazon.it/MSI-RTX-2060-GAMING-6G/dp/B07M7J8H3K,B07M7J8H3K,nan,nan,nan
"ASUS TUF Gaming GeForce RTX 2060 OC Edition 6 GB GDDR6, Scheda Video Gaming TUF...",4.6,339,https://m.media-amazon.com/images/I/914CIuhl47L.jpg,https://www.amazon.it/ASUS-TUF-RTX2060-O6G-GAMING-GeForce-2060-GDDR6/dp/B07P4CJZBY,B07P4CJZBY,nan,nan,nan
"RTX GeForce 2060 OC 6 G, GV-N2060-OC-6GD",4.3,288,https://m.media-amazon.com/images/I/615ukcSoiGL.jpg,https://www.amazon.it/Gigabyte-9VN2060O6-00-10-RTX-GeForce-2060-OC/dp/B07MJGCPW5,B07MJGCPW5,nan,nan,nan
MSI VGA GEFORCE RTX 2060 VENTUS XS 6G OC,4.4,124,https://m.media-amazon.com/images/I/61s3on+qxJL.jpg,https://www.amazon.it/MSI-V375-035R-scheda-GeForce-Ventus/dp/B07MVZM78T,B07MVZM78T,nan,nan,nan
Gigabyte GeForce RTX 2060 GAMING OC PRO 6G,4.4,100,https://m.media-amazon.com/images/I/6171cUq1ScL.jpg,https://www.amazon.it/Gigabyte-GeForce-RTX-2060-GAMING/dp/B07MWTMG1C,B07MWTMG1C,nan,nan,nan
Inno3D N20602-06D6-1710Va15L Geforce Rtx 2060 6Gb Twin X2 - 1X Hdmi/3X Displayport,5.0,1,https://m.media-amazon.com/images/I/81YFK8aXKxL.jpg,https://www.amazon.it/Inno3D-GeForce%C2%AE-RTX-2060-Twin/dp/B07XKS1R38,B07XKS1R38,nan,nan,nan
"RTX GeForce 2060 Windforce OC 6 G, GV-N2060-WF2OC-6GD",4.3,288,https://m.media-amazon.com/images/I/61HdtK+T-WL.jpg,https://www.amazon.it/RTX-GeForce-2060-Windforce-OC-6-G/dp/B07MJGC21L,B07MJGC21L,nan,nan,nan
"Memory PC PC High End Gaming PC AMD Ryzen 5 2600 6x 3,9 GHz, AMD RX 5700 8GB, 16...",4.6,20,https://m.media-amazon.com/images/I/61x8tBiKuhL.jpg,,,nan,nan,nan
PLD09210S12HH Scheda Grafica Ventola di Raffreddamento Per ASUS STRIX R9 390 X 390...,4.4,21,https://m.media-amazon.com/images/I/61ZsVkHZe6L.jpg,,,nan,nan,nan
"ASUS Turbo GeForce RTX 2060 SUPER EVO 8 GB GDDR6, Scheda Video Gaming e Workstation...",4.4,91,https://m.media-amazon.com/images/I/81athu4xT2L.jpg,https://www.amazon.it/ASUS-GeForce%C2%AE-EVO-velocit%C3%A0-aggiornamento/dp/B07VS34KJS,B07VS34KJS,nan,nan,nan
Zotac Gaming GeForce Nero,4.7,69,https://m.media-amazon.com/images/I/71OtihJZgHL.jpg,https://www.amazon.it/Zotac-ZT-T20610E-10M-scheda-video-GeForce/dp/B07TXG9YDG,B07TXG9YDG,nan,nan,nan
Gigabyte Nvidia RTX2060 Super Windforce OC 8G Fan GDDR6 DP/HDMI PCI Express scheda...,4.6,242,https://m.media-amazon.com/images/I/61dqSrehZXL.jpg,https://www.amazon.it/Gigabyte-RTX2060-Windforce-Express-GV-N206S-WF2OC-8GD/dp/B07V48X1ZQ,B07V48X1ZQ,nan,nan,nan
Zotac ZT-T20600H-10M scheda video GeForce RTX 2060 6 GB GDDR6,4.5,57,https://m.media-amazon.com/images/I/51ZzSL+ZxUL.jpg,https://www.amazon.it/Zotac-ZT-T20600H-10M-scheda-video-GeForce/dp/B07QC8RSZB,B07QC8RSZB,nan,nan,nan
MSI GEFORCE RTX 2060 SUPER GAMING X,4.3,99,https://m.media-amazon.com/images/I/81Js7opZI6L.jpg,https://www.amazon.it/MSI-RTX-2060-SUPER-GAMING/dp/B07TZ55K6J,B07TZ55K6J,nan,nan,nan
"XFX - Scheda grafica, RX 5600 Xt Thicc II Ultra, 6GB Boost fino a 1620MHz, GDDR6...",3.9,460,https://m.media-amazon.com/images/I/71V2f0oHdgL.jpg,https://www.amazon.it/XFX-Scheda-grafica-Thicc-1620MHz/dp/B083FWMZ8Z,B083FWMZ8Z,nan,nan,nan
GeForce® RTX 2060 SuperTM Dual Fan,4.4,50,https://m.media-amazon.com/images/I/610SvokXmWL.jpg,https://www.amazon.it/GeForce%C2%AE-RTX-2060-SuperTM-Dual/dp/B07TZ185FZ,B07TZ185FZ,nan,nan,nan
,nan,nan,,,,nan,nan,nan
,nan,nan,,,,nan,nan,nan
,nan,nan,,https://www.amazon.it/,,nan,nan,nan
